id,topic_id,type,text,answer,options,irt_a,irt_b
106,9,MCQ,What is the name of the penguin mascot of the Linux operating system?,"""B""","{""A"": ""Bochs"", ""B"": ""Tux"", ""C"": ""Pintos"", ""D"": ""Nachos""}",1,-1
107,9,MCQ,Which component of Windows NT directly interacts with the hardware and separates out architecture-specific details to make porting easier?,"""C""","{""A"": ""Subsystem processes"", ""B"": ""Dynamic Link Libraries (DLLs)"", ""C"": ""Hardware Abstraction Layer (HAL)"", ""D"": ""NTOS Executive Layer""}",1,-1
111,9,MCQ,Which operating system kernel type is structured as a single executable running entirely within its own address space?,"""B""","{""A"": ""Microkernel"", ""B"": ""Monolithic Kernel"", ""C"": ""Hybrid Kernel"", ""D"": ""Exokernel""}",1,-0.5
112,9,MCQ,Who is credited with writing the study notes for the 50004 Operating Systems course at Imperial College London?,"""C""","{""A"": ""Dr Peter Pietzuch"", ""B"": ""Dr Luis Vilanova"", ""C"": ""Oliver Killane"", ""D"": ""Linus Torvalds""}",1,-0.5
116,9,MCQ,Which of the following instructions can safely be executed in both user mode and kernel mode without compromising system security or stability?,"""B""","{""A"": ""Disabling all interrupts"", ""B"": ""Reading the time of day clock"", ""C"": ""Changing the memory map"", ""D"": ""Setting the system time of day""}",1,0
117,9,MCQ,What is a primary performance disadvantage of a microkernel architecture compared to a monolithic kernel architecture?,"""C""","{""A"": ""A crash in a user-space file server will inevitably bring down the entire kernel."", ""B"": ""It requires a larger, more complex kernel that is harder to verify and test."", ""C"": ""There is significant overhead due to the extensive inter-process communication (IPC) required between separate user-space servers."", ""D"": ""It prevents the system from supporting dynamically loadable modules.""}",1,0
121,9,MCQ,"Which of the following best describes the architectural trade-offs between monolithic, microkernel, and hybrid kernel designs regarding robustness and performance?","""A""","{""A"": ""Microkernels run components like device drivers as user-mode servers to prevent system-wide crashes at the cost of high IPC overhead, whereas hybrid kernels like Windows NT run most of these modular components in kernel memory to eliminate IPC overhead, meaning component failures can still crash the entire system."", ""B"": ""Monolithic kernels isolate components into separate user-space address spaces to maximize robustness, while microkernels run all services in a single kernel-space address space to eliminate interprocess communication overhead."", ""C"": ""Hybrid kernels run all system services as user-level servers to achieve maximum performance, ensuring that a crash in any service is isolated and can never cause a blue screen of death."", ""D"": ""Microkernels achieve superior performance over monolithic kernels because they eliminate the need for any interprocess communication, while monolithic kernels suffer from high complexity because they run the scheduler and virtual memory in user-mode.""}",1.1,0.5
126,9,MCQ,"Which of the following statements correctly evaluates the trade-offs between monolithic kernels and microkernels regarding robustness, complexity, and performance?","""A""","{""A"": ""Monolithic kernels offer high performance due to fast in-memory communication within a single address space but have low robustness because any component failure can crash the system, whereas microkernels enhance robustness through isolated user-mode servers at the expense of high inter-process communication overhead."", ""B"": ""Microkernels reduce inter-process communication overhead compared to monolithic kernels by running all services in kernel space, but they suffer from increased kernel complexity and lower overall system robustness."", ""C"": ""Monolithic kernels are highly robust and easy to formally verify because all components are compiled into a single executable, whereas microkernels suffer from high kernel-level complexity due to their large size."", ""D"": ""Hybrid kernels completely eliminate the performance overhead of user-level servers by running all microkernel-style servers strictly in user space while keeping the core scheduling in kernel space.""}",1.2,1
131,10,MCQ,"Which type of kernel is structured as a single executable with its own address space, where all parts of the kernel (such as the file system, scheduler, and device drivers) execute?","""C""","{""A"": ""Microkernel"", ""B"": ""Hybrid Kernel"", ""C"": ""Monolithic Kernel"", ""D"": ""Exokernel""}",1,-1
132,10,MCQ,What is the fundamental definition of a process in an operating system?,"""B""","{""A"": ""A compiled binary file stored on disk"", ""B"": ""A running program"", ""C"": ""A hardware CPU core"", ""D"": ""A network socket connection""}",1,-1
133,10,MCQ,Which two Unix signals cannot be handled or ignored by a process?,"""C""","{""A"": ""SIGINT and SIGTERM"", ""B"": ""SIGSEGV and SIGABRT"", ""C"": ""SIGKILL and SIGSTOP"", ""D"": ""SIGPIPE and SIGALRM""}",1,-1
134,10,MCQ,Which microkernel operating system has been formally verified to prove its correctness?,"""B""","{""A"": ""MINIX 3"", ""B"": ""seL4"", ""C"": ""Pintos"", ""D"": ""QNX""}",1,-1
135,10,MCQ,Who started the project in 1991 that eventually became the Linux kernel?,"""B""","{""A"": ""Richard Stallman"", ""B"": ""Linus Torvalds"", ""C"": ""Andrew Tanenbaum"", ""D"": ""Ken Thompson""}",1,-1
136,10,MCQ,Which of the following is a key characteristic of a monolithic kernel?,"""B""","{""A"": ""The kernel runs as a minimal set of services with separate servers running in user-mode."", ""B"": ""All parts of the kernel execute in a single address space."", ""C"": ""It is a combination of microkernel and monolithic kernel features where some components are structured as servers in kernel space."", ""D"": ""It is designed specifically for embedded systems with very low power hardware.""}",1,-0.5
137,10,MCQ,What does the Portable Operating System Interface (POSIX) provide to developers?,"""C""","{""A"": ""A hardware abstraction layer specifically for Windows NT."", ""B"": ""A virtual machine specification that runs Java bytecode."", ""C"": ""A Unix-like interface that covers typical OS interactions, allowing programs to be written for multiple operating systems."", ""D"": ""A tool to automatically translate x86-64 binaries into MIPS binaries.""}",1,-0.5
138,10,MCQ,Which of the following is a characteristic of User Mode compared to Kernel Mode?,"""D""","{""A"": ""It has elevated privileges allowing full access to all hardware."", ""B"": ""It has read/write access to any part of memory."", ""C"": ""It can execute CPU privileged instructions such as disabling interrupts."", ""D"": ""It is unprivileged and must use the interface provided by the kernel (system calls) to request resources.""}",1,-0.5
139,10,MCQ,"In the context of process control, what is a Process Control Block (PCB)?","""B""","{""A"": ""A hardware component that executes process instructions."", ""B"": ""A data structure storing information on a process and its state."", ""C"": ""A library used to implement user-level threads."", ""D"": ""A system call that terminates a running program.""}",1,-0.5
140,10,MCQ,Which of the following Unix signals cannot be handled or ignored by a process?,"""C""","{""A"": ""SIGINT"", ""B"": ""SIGTERM"", ""C"": ""SIGKILL"", ""D"": ""SIGSEGV""}",1,-0.5
141,10,MCQ,What is a major disadvantage of User Level Threads compared to Kernel Level Threads?,"""B""","{""A"": ""Thread creation and termination are very slow."", ""B"": ""Any blocking system call on a single thread blocks all threads in the process."", ""C"": ""They require expensive kernel involvement for simple context switches."", ""D"": ""They do not allow applications to use their own customized thread schedulers.""}",1,-0.5
142,10,MCQ,Which of the following instructions is safe to execute in both User Mode and Kernel Mode?,"""C""","{""A"": ""Disable all interrupts"", ""B"": ""Change the memory map"", ""C"": ""Read the time of day clock"", ""D"": ""Set the time of day""}",1,0
143,10,MCQ,What is a primary disadvantage of a microkernel architecture compared to a monolithic kernel architecture?,"""B""","{""A"": ""Reduced system robustness if a single server crashes."", ""B"": ""High performance overhead due to extensive inter-process communication (IPC)."", ""C"": ""Increased complexity of the core kernel code."", ""D"": ""Inability to run device drivers in isolation.""}",1,0
144,10,MCQ,"When the fork() system call is successfully executed in a Unix-like operating system, what does it return to the parent process?","""B""","{""A"": ""The value 0"", ""B"": ""The process ID (PID) of the newly created child process"", ""C"": ""The value -1"", ""D"": ""A pointer to the child process's stack""}",1,0
145,10,MCQ,Which of the following resources is typically shared among all threads within the same process?,"""D""","{""A"": ""CPU registers"", ""B"": ""The program counter"", ""C"": ""The execution stack"", ""D"": ""The address space (heap)""}",1,0
146,10,MCQ,"In Unix-like operating systems, which of the following signals cannot be handled or ignored by a process?","""B""","{""A"": ""SIGINT and SIGTERM"", ""B"": ""SIGKILL and SIGSTOP"", ""C"": ""SIGSEGV and SIGPIPE"", ""D"": ""SIGABRT and SIGALRM""}",1,0
147,10,MCQ,What happens in a pure user-level thread implementation when a single thread executes a blocking system call (such as waiting for I/O)?,"""C""","{""A"": ""Only the calling thread is blocked, while other threads in the process continue executing."", ""B"": ""The kernel automatically spawns a new kernel-level thread to handle the blocking call."", ""C"": ""All threads within that process are blocked because the kernel is unaware of individual threads."", ""D"": ""The operating system terminates the process due to an unhandled exception.""}",1,0
148,10,MCQ,"If a system runs \(n\) independent processes, each spending a fraction \(p\) of its time waiting for I/O, what is the formula to calculate the fraction of CPU time that is wasted (i.e., when all processes are waiting for I/O simultaneously)?","""A""","{""A"": ""\\(p^n\\)"", ""B"": ""\\(1 - p^n\\)"", ""C"": ""\\((1 - p)^n\\)"", ""D"": ""\\(n(1 - p)\\)""}",1.1,0.5
149,10,MCQ,"When a process calls `fork()` without flushing standard output (`stdout`), why might duplicate output appear in the console?","""B""","{""A"": ""The operating system kernel automatically replays the last write system call for the child process."", ""B"": ""The child process inherits the parent's buffered user-space stdout data, which is then flushed independently by both processes."", ""C"": ""The terminal driver duplicates any incoming stream if it detects a new process ID."", ""D"": ""The file descriptor table is shared dynamically, causing both processes to read from the same output buffer.""}",1.1,0.5
150,10,MCQ,"In a pure user-level thread implementation, what is the consequence if a single thread triggers a page fault?","""C""","{""A"": ""Only the thread that caused the page fault is blocked, while the user-level scheduler switches to other runnable threads in the same process."", ""B"": ""The kernel-level scheduler terminates the entire process due to an unhandled memory violation."", ""C"": ""All threads within that process are blocked because the kernel is unaware of individual user-level threads and blocks the entire process."", ""D"": ""The user-level thread table is corrupted, requiring a complete process restart.""}",1.1,0.5
151,10,MCQ,"Under the POSIX standard, if a multi-threaded process calls `fork()`, what is the state of the threads in the newly created child process?","""B""","{""A"": ""All threads from the parent process are duplicated and continue running concurrently in the child process."", ""B"": ""Only the thread that called `fork()` is duplicated in the child process, potentially leaving resources like locks permanently acquired if held by other non-copied threads."", ""C"": ""The child process is created with zero threads and must explicitly call a thread initialization routine."", ""D"": ""All threads are copied, but they are placed in a suspended state until the parent process explicitly resumes them.""}",1.1,0.5
152,10,MCQ,Which of the following operations can safely be executed in both User Mode and Kernel Mode without compromising system protection and isolation?,"""C""","{""A"": ""Disabling all hardware interrupts"", ""B"": ""Modifying the system's memory map"", ""C"": ""Reading the time-of-day clock"", ""D"": ""Setting the system's time-of-day clock""}",1.1,0.5
153,10,MCQ,How does the Hardware Abstraction Layer (HAL) facilitate the portability of the Windows NT operating system to a new processor architecture?,"""B""","{""A"": ""It dynamically translates x86 machine instructions into the target architecture's native instruction set at runtime."", ""B"": ""It isolates all architecture-specific hardware interactions into a single low-level module, meaning only the HAL itself needs to be rewritten while the rest of the kernel code remains unchanged."", ""C"": ""It automatically recompiles user-space applications to match the new hardware specifications without developer intervention."", ""D"": ""It runs the entire operating system inside a virtual machine wrapper that emulates a standardized hardware interface.""}",1.1,0.5
154,10,MCQ,"Suppose a system runs processes that each spend 75% of their time waiting for I/O. To ensure that the CPU is wasted at most 5% of the time, what is the minimum number of such processes that must be kept running concurrently?","""B""","{""A"": ""10"", ""B"": ""11"", ""C"": ""12"", ""D"": ""15""}",1.2,1
155,10,MCQ,"An application is designed using a pure User-Level Thread (ULT) library. During execution, one of the user-level threads encounters a page fault on its stack, requiring the operating system to load the page from swap. At the same time, another user-level thread in the same process is fully runnable. What is the scheduling behavior of the system during this page fault?","""C""","{""A"": ""The ULT library's thread scheduler immediately context-switches to the runnable thread, allowing execution to continue in user mode."", ""B"": ""The kernel schedules the runnable thread of the process because it maintains a separate thread table in kernel space."", ""C"": ""The entire process is blocked by the operating system, preventing the runnable thread from executing until the page fault is resolved."", ""D"": ""The thread encountering the page fault is terminated, and the kernel immediately signals the process to resume with the remaining threads.""}",1.2,1
156,10,MCQ,"If a critical device driver structured as a server in a hybrid kernel experiences a fatal crash, what is the expected outcome compared to the same event occurring in a pure microkernel?","""B""","{""A"": ""In both kernels, the driver will be restarted automatically by a user-space daemon without affecting other services."", ""B"": ""In the hybrid kernel, the crash will likely bring down the entire system because the driver runs in kernel space, whereas in the microkernel, only the driver process crashes and can be restarted."", ""C"": ""In the hybrid kernel, the crash is isolated to user space, whereas in the microkernel, it triggers a kernel panic due to the lack of a virtual memory map."", ""D"": ""In the microkernel, the crash causes a cascade failure of the IPC mechanism, while the hybrid kernel uses dynamic libraries to hot-patch the driver at runtime.""}",1.2,1
157,10,MCQ,"In the Pintos operating system, when a user program initiates a system call via the `int 0x30` instruction, which sequence of events correctly describes the transition from user mode to kernel mode and back?","""B""","{""A"": ""The CPU switches to kernel mode, pushes the user registers directly to the user stack, calls `syscall_handler` in `userprog/syscall.c`, and returns via `ret`."", ""B"": ""The CPU jumps to the interrupt table, pushes the frame pointer and interrupt number onto the stack, executes `intr_entry` to save registers and set up the kernel frame, calls `intr_handler` which dispatches to `syscall_handler`, and finally restores registers via `intr_exit` before executing `iret`."", ""C"": ""The kernel-space daemon intercepts the instruction in user mode, copies the arguments to the process control block (PCB), executes the system call in user mode with elevated privileges, and clears the interrupt flag."", ""D"": ""The CPU disables all interrupts, switches to user mode, executes `intr_handler` directly from `threads/init.c`, and uses `sysret` to restore the program counter.""}",1.2,1
158,10,MCQ,"A multi-threaded process has two active threads: Thread A and Thread B. Thread B acquires a mutual exclusion lock (mutex) to update a shared data structure. While Thread B holds this lock, Thread A calls `fork()`. What is the state of the mutex and the threads in the newly created child process?","""C""","{""A"": ""The child process contains copies of both Thread A and Thread B, and Thread B will eventually release the lock in the child process."", ""B"": ""The child process contains only Thread A, and the mutex is automatically reset to an unlocked state by the kernel during the fork operation."", ""C"": ""The child process contains only Thread A, but the mutex remains in a locked state. Since the thread that held the lock (Thread B) was not copied, the lock can never be released in the child process."", ""D"": ""The fork call blocks indefinitely because the kernel prevents process duplication while any mutex in the parent process is held by a non-calling thread.""}",1.2,1
159,9,MCQ,What is the name of the penguin mascot chosen for the Linux operating system?,"""B""","{""A"": ""Pintos"", ""B"": ""Tux"", ""C"": ""Gnu"", ""D"": ""Bochs""}",1,-1
160,9,MCQ,"Which type of kernel is defined as a single executable where all parts of the kernel, such as the file system, scheduler, and device drivers, execute in one single address space?","""C""","{""A"": ""Microkernel"", ""B"": ""Hybrid Kernel"", ""C"": ""Monolithic Kernel"", ""D"": ""Exokernel""}",1,-1
163,9,MCQ,Which operating system kernel type is structured as a single executable running entirely in its own address space?,"""B""","{""A"": ""Microkernel"", ""B"": ""Monolithic Kernel"", ""C"": ""Hybrid Kernel"", ""D"": ""Exokernel""}",1,-0.5
166,9,MCQ,Which of the following instructions can safely be executed in both user mode and kernel mode without compromising system security or stability?,"""B""","{""A"": ""Disabling all hardware interrupts"", ""B"": ""Reading the time of day clock"", ""C"": ""Modifying the system memory map"", ""D"": ""Setting the system time of day""}",1,0
167,9,MCQ,What is a primary disadvantage of a microkernel architecture compared to a monolithic kernel architecture?,"""C""","{""A"": ""Increased complexity in the core kernel code, making it harder to debug."", ""B"": ""Reduced robustness, as a crash in a user-space server will bring down the entire system."", ""C"": ""High inter-process communication (IPC) overhead due to services running as separate processes."", ""D"": ""Difficulty in extending or updating individual system components like device drivers.""}",1,0
175,9,MCQ,"When evaluating the trade-offs between monolithic, microkernel, and hybrid kernel architectures, which of the following statements is correct?","""B""","{""A"": ""A hybrid kernel structure avoids the IPC overhead of a microkernel by running some server components in kernel space, thereby preventing failures in those components from crashing the entire system."", ""B"": ""A monolithic kernel offers fast communication because all components execute in a single address space, but it lacks the robustness of a microkernel, where server components can crash and restart without bringing down the entire system."", ""C"": ""A microkernel minimizes complexity by executing all of its components, including the core interprocess communication (IPC) mechanisms, as isolated user-mode processes."", ""D"": ""A highly portable operating system can run on entirely different processor architectures without any code modification by utilizing a Hardware Abstraction Layer (HAL) to abstract the instruction set.""}",1.2,1
